MIDI,Keyname,OriginalNumericID,SourceSongID,SourcePath,SourceByteSHA256,EstimationSourcePath,EstimationSourceSHA256,NoteContentSHA256,FramePC,CanonicalShift,PrimaryMethod,SecondaryMethod,MappingSource,SourceManifestSHA256
music21_16.mid,Eb,16,pop1k7:src_001:16,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/16.mid,fc1e3ee2d0fd85d110ea84534648761840c131ac41456ffcb7d3db9dea59da89,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/16.mid,a9f1d8ae242037612c27a7c15cfd243ff0c67a615fc9304cacae269b34c0555b,93bb98def1f9e0fab4107039c3ec4189d40036ae776b0f380df2e31c7babc41f,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_17.mid,E,17,pop1k7:src_001:17,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/17.mid,6fd9e05f97538af6f6df54a0a8684cf77cb40667e666601b9e1bd794bd0c16ab,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/17.mid,bb182adc58473d7b3ff4067e82477be336aac0c7ea4d7c0bc04df5a69cdd3e6d,fbafa58e64b26ce359a00350e3f8410a14beac01e439df4f9c7a643b0e02b10c,4,-4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_18.mid,C#,18,pop1k7:src_001:18,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/18.mid,2c4403f488b6db54752de8fbd5715971f2ba3a903c491d51906a3f7f0c9fe12b,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/18.mid,16320251bcbad6ad6f914a1d710970d5af613cfb05a0efaf2edcb851d1dc798f,51f32bfa3286436874f5c05ee84634757d6e2f896ebf895987ea301f78bee358,1,-1,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_21.mid,g,21,pop1k7:src_001:21,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/21.mid,937559f5bbf0f65e8b02e3260b5a2e6eaa4b338bc81c62ae8b1d059bc9b44465,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/21.mid,b8c3548d30398deb7a80b2006dedd6a19aa32c10b8113d185d96ff1d8dbf352c,2ee4fb8cb67678df3fdf7d0bed0c9594418d311ca92095bf94eacb64fb6c310b,10,2,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_25.mid,Ab,25,pop1k7:src_001:25,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/25.mid,28ff055ae460196956090596c49ef76582633ad478f448aba5e3393942bddc67,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/25.mid,638054a976a79a427c4c38b6e446dcf687929ee52ef0a54ccb011c8b09d1dc95,09625970922acfc947614848295ebd8e2a3eb63f0dee9da0f93e452024b39124,8,4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_26.mid,Eb,26,pop1k7:src_001:26,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/26.mid,664a42f67defe8d3077a92c62bc426255628f3170be07907f4f8f12938529bf6,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/26.mid,39a9a90f4b055c11ae018bc4b9a6ecc77fc237478c323b52360dab4bcb1eecbd,20a28751ce17315a8daf834997e6b38b64ecd96617c48a60ccceb3a3194e857c,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_27.mid,D,27,pop1k7:src_001:27,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/27.mid,f88af4a5558cb741cbff409fb78a17af399f7f453e9e109601d46c97955071a8,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/27.mid,a0d71c48a8e9815e9b719a5a713c8d0357e6c156310701cadaae5beacbfd8e31,1a7dfe6e23475b4caeb1ace3f7cc29eb65ff3db5cd557fe0058645f9bb9ef542,2,-2,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_29.mid,D,29,pop1k7:src_001:29,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/29.mid,05146fc1a58bff031fc2134d71b880fdcbcb73c11b928244c565340b2ff4893f,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/29.mid,1293317f2d8330105d47826b96dac4aba51436a8a0ceda8e8565c4cade68f06c,ed1ceb4666a814d321a69ca471681799b98a8356d30de3838cd5c5a5d7102140,2,-2,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_30.mid,Eb,30,pop1k7:src_001:30,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/30.mid,cfc800169c27a95a9493a7cb303a5770856e36fe963878722c65286bbb0e0727,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/30.mid,4dc6e2a8de93a75fbfc217a1f2f7cde22f4a281704119feeb1af4f30945866d8,80025035156886a6b2cf2e5c8d9a37f0670591eeafcfcd5a4f4d1a6c25000c6d,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_31.mid,bb,31,pop1k7:src_001:31,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/31.mid,d008c024d296298f3f230aad9605d81b4f50eea54d168c85c046167b083c3183,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/31.mid,c44f415b4ddaf20b5df3eaa1e22bd3495f7538c4d6dcccf09cf0644533209373,eec701693759c975d7343f84914202477ab392714854d7f0684c19d73077cd59,1,-1,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_34.mid,ab,34,pop1k7:src_001:34,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/34.mid,32518896d281a0886bdb9faa62e194a62e0aaaf712342e66b28b05d197474ed0,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/34.mid,3cb8822c879fed3f903a30a440c7c19826ea1c0d34f4837d323f5f5d121d735c,818acebca92b6fdec774b17cbdd1ec5ce748914a478a5174bba698ff479605c3,11,1,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_36.mid,c#,36,pop1k7:src_001:36,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/36.mid,7bb9a37316f8e05014bbf8d45d7668631b54c829bd0e9ca2aea49a62ccce2fec,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/36.mid,5c82695dcf7eeb9d9400bb7922447e26ed2f55ba63735fec2a9a7d996e18c8a3,8d7ee9a91ce2b9f4c59b74cb526f62cbe55f39388aafbcad82a1ca179b5c71d1,4,-4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_37.mid,E,37,pop1k7:src_001:37,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/37.mid,cc2eeed77b288fa9cd2d9222f0a3d088c97e9a5a68592b54cebb388ae2ad35ca,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/37.mid,e28be917246b26bd46369ef2f9fe2c45dafd7cad15dbd2d6ab375726616b8e23,9a4dea23c76c1c184b8398c45ec7060b65fa873e396d3fc87b58f19e11b19e19,4,-4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_39.mid,A,39,pop1k7:src_001:39,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/39.mid,c545f339c24533bd9645bc581fabf4d73c83342b97327f410129d14f5b4925e7,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/39.mid,f98115286440f84d65e91d61f60de3a0d07e54ab9400b0a4d299e56154f940c9,ce3d9aa25ff2348d46f358a89ccb30b28074b193ef6effe11372c8ad6abc5351,9,3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_41.mid,c,41,pop1k7:src_001:41,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/41.mid,244bcf2fe3a4acf1dce3aa8b7426d78c19a84b83187cd34ab0acb485d30b9abf,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/41.mid,aeb027afe7c462fd20a2cb1ad17c1d5ceca97386a86f7f570bd134d177d431d5,5890149ac6cec58200ba9892095d372c0c515d543f289bb4348fd15653513204,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_43.mid,F,43,pop1k7:src_001:43,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/43.mid,8b4d1beb54380fb9a81586800bc5c27f90cea1e8aff16400cc1f27bc1a851dc9,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/43.mid,6c14e8a8dfe9adadfef0bbd9cd97d0adf3aa1d139f09b783afc19ed536d3d885,8fb024f9b8f0a9be9d16bca6f5ecd58dda9d0e5ed767d3e6fcfb5f54a00c3fff,5,-5,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_44.mid,g,44,pop1k7:src_001:44,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/44.mid,a7055e59d83391fabd78efe1d2780c00e8b80c1fd38f8c353af841ef7c7e3505,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/44.mid,50ad6bde2643afef1a03f4341e6955b8620ebe79d66cf9af4df26bbc99679357,d92a353bef1743bc4a1900074c092a0a2c264db16bc800ad30e36ac7a1519fd3,10,2,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_45.mid,Ab,45,pop1k7:src_001:45,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/45.mid,830abbf7ae23d406ca1f6b7f315d586e733974f95477549a3efc36283a02aacc,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/45.mid,70d2b4c89dcf4e07a647635e72af08da0e3bff9f9f8953f7fed49f9b38d3fa96,361c918b4742fb4c3d6b27c6190feb8f6144fc4ffdc3ed1fe41e9c33c014d2a5,8,4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_46.mid,A,46,pop1k7:src_001:46,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/46.mid,8e0e51bfc3e08ee38ff776766f9a711feae437dc20b478092a7f4b315bc226cf,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/46.mid,cc4b69a4294a836a81061e16e890d6903479615456016d6a779b9ae53774e3a3,1d566791e73e965bc5f8caa9fd5f4271e7e2a5edb6abd9a9e4d21b7cff2b13dd,9,3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_47.mid,C#,47,pop1k7:src_001:47,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/47.mid,a934778c97bfe188d5ce38a046a0483250d63a163d3c2e21759db23ded39131a,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/47.mid,a147a340f820e4bcf320b5c2b41f83d509065b8ed50255ecdf5c4707f6a1289c,d5ca97382634c4d06fa9a1edec1b813fd3709a36ff44354d0edcd3a110266dbb,1,-1,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_48.mid,Eb,48,pop1k7:src_001:48,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/48.mid,96023b35f9d52c7460a4fb57f6b9a09c0917f2693d99b7ffc0d4900a13c0d871,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/48.mid,44c6301243e507f4d9a1ddef2797d92ca40885052dd7a6d376fe6662b80c89b6,14d8b0e76c39c7209db6b94eab9aae61f7811d7deab18c415043ae61b991bbd5,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_49.mid,G,49,pop1k7:src_001:49,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/49.mid,b13c14625992b2db7fa6420e9fb2af945427b1c391caf532054e3b02c7cff921,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/49.mid,56b3d4582dece1350855d476df9599946d67b9014e40b888e3c8ca700b61e708,491be5032c49e8344fa2f865ed7f0dd7e5a590aec774832f7ae63f474f82f26b,7,5,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_51.mid,ab,51,pop1k7:src_001:51,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/51.mid,d9327f26028b90ba508df1b234d8128062a2758e965dd2e07b614f039768402d,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/51.mid,2d5a09b27ce66d73bb5c6739411f5b6d70190d0c3d7217a91e56a4a283ddd04b,9b0252456867027d07e74bc6281e67d820c4ab0691a18bd506669c7d55d839a6,11,1,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_53.mid,c#,53,pop1k7:src_001:53,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/53.mid,880fa2c6fdee7c54c5ce80da31ad01848e91bd86b6989b4e29aebd43b1c14511,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/53.mid,d7597a73e5f7dba07f5ff946deefd39b08c2a8a413b58682bced9d81b80ce852,2133f438df4947cf609afd3e6894483ed77861ddfdba15af024d1d0e5e17a85b,4,-4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_54.mid,Eb,54,pop1k7:src_001:54,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/54.mid,59682dfacdddd773696b229497c77f895a181e29b1eb73a7c82d7ac7ad0c73fe,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/54.mid,339d75bd7a4b7ed545373cddf5cb7612a03fb58e94de705570090fa4dd273e36,ff84a85a50ac1239734d41b4115022ccd8abcfad0f564355dbce48557c8fcaaa,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_56.mid,F#,56,pop1k7:src_001:56,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/56.mid,627608e2d17eef1a35e76951b4c8ad8ce539a717238ca34dede8da6c4778e720,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/56.mid,d84992b6803da57599f2647e8cdb97d5366cc413af4f341002a77f5063cb5950,deeacaa69afa7a1816ede1db99c589e5539159fe3847c48b75780c0a8d3b76f7,6,6,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_58.mid,A,58,pop1k7:src_001:58,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/58.mid,cc53546b84ef72994e270f85290a4d916a3e6d07cc7ce7259920115a6c0ecd1b,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/58.mid,9e3809170d630b70f88ac1ad7be82d3899db5c0c89da60455d00e685bb445bd4,62b10d70ed98dc7c81a5dc9537fcacf5b6d67cacb9ce3a663db57f3c4f785e56,9,3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_59.mid,Ab,59,pop1k7:src_001:59,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/59.mid,931ac5e166d9a9761803cf492c1b0c5469fa48ca9553867cad5b76e6594f9971,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/59.mid,a07704feb6351baf0ed9b9421861703884b8f39879668bbc216aaf8b8e12e362,b719a0ae7cb1e153e6ea1e3cccb7c560cdd0b61a17438970a77ef97f6330c40f,8,4,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_60.mid,C,60,pop1k7:src_001:60,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/60.mid,8251e6e1f915f9924b74a6273b95989cd8284c20bfa0e68e1ca2e31d420c754d,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/60.mid,d0a25dba981177f388388da552fc5e391798205a0f3019b9fe40a7ffc2617d4b,34d9495619a1091ba1bf8433df6ab617784e7781428db03020e73ae711e3a08e,0,0,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_61.mid,c,61,pop1k7:src_001:61,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/61.mid,848a0a58cb55ea93b771aaae87198acd6a93acd17f31fee76ec4072570a9fd39,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/61.mid,6086f761940bac4ffb1e97cb4c90a7700ec6506cb1cf81ddb2cf7feecd6ca919,275d02dc3379c8d63aae1461e5481dd1734f6dfde6d4d20e01f874b2a24f475f,3,-3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_62.mid,C,62,pop1k7:src_001:62,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/62.mid,fb5c996680db0d27ab9c1990470ee96797b70960cdeef71a5d322c7ddd1e6a20,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/62.mid,34271981f9a24c5fd66c69babe31b7d6df4bc7ae5ac73aeb494bcf485378a24c,c547566661aa6582cce70534f14a189cf6be768466dea0d6e7dd1e6f258e131a,0,0,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_63.mid,e,63,pop1k7:src_001:63,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/63.mid,245bb2004a5c9cae2c4529b840d93bfad8f72714931e2a3a11c4933fc1afc629,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/63.mid,555771fe613d45212c207efb3930dca5f4178415b2637149641834799da13a25,6de2b7ba3ed1eb6cd6dffa01acae2562ef0b6a0196f31e052d0e9d21a2000b69,7,5,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
music21_64.mid,A,64,pop1k7:src_001:64,data/pop1k7_official/Pop1K7/midi_analyzed/src_001/64.mid,25c64f126f309818ea211a0a97ed533851085958e749b2e6f41a287f3e9991b0,data/pop1k7_official/Pop1K7/midi_synchronized/src_001/64.mid,68f80912e3bb3ff3808174defb08c3372c699c451bcf246f2de652ecbc80c0c6,47f05ae60a0645f857a33af94ba133d510b5151f6bf09eb7910d1f0f56d758b7,9,3,music21.key.krumhanslschmuckler,music21.key.aardenessen,same_release_path_plus_note_hash_music21_consensus_v1,53664a7ef3eed4af690568e16a357a2f88698e7f0a05fe854316b884807534da
